"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n4:director)-[:DIRECTED]->(n3:adult), (n4:cinematographer)-[:DIRECTED]->(n1:adult), (n4:writer)-[:CINEMATOGRAPHER_OF]->(n2:adult) WHERE (n1.year=2005 AND n4.death=0 AND n2.year=2002) RETURN count(n1)";"MATCH (n4:director:death_0)-[:DIRECTED]->(n3:adult), (n4:cinematographer:death_0)-[:DIRECTED]->(n1:adult:year_2005), (n4:writer:death_0)-[:CINEMATOGRAPHER_OF]->(n2:adult:year_2002) RETURN count(n1)";"A AND B AND C";"-";"100%";"2354";"166823";"48.9"
"MATCH (n2:producer)-[:ACTED_IN]->(n3:romance), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n1.year=2019 AND n4.year=2008 AND n3.year=1999) RETURN count(n1)";"MATCH (n2:producer)-[:ACTED_IN]->(n3:romance:year_1999), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy:year_2019), (n2:actor)-[:ACTED_IN]->(n4:comedy:year_2008) RETURN count(n1)";"A AND B AND C";"-";"100%";"11";"1194716";"212.4"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:music), (n2:soundtrack)-[:ACTED_IN]->(n1:music) WHERE (n1.year=1996 AND n2.birth=1947 AND n3.year=1983 AND n2.name=""Elton John"") RETURN count(n1)";"MATCH (n2:soundtrack:birth_1947)-[:ACTED_IN]->(n3:music:year_1983), (n2:soundtrack:birth_1947)-[:ACTED_IN]->(n1:music:year_1996) WHERE (n2.name=""Elton John"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"24";"8133";"15.1"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:adult), (n1:actress)-[:ACTED_IN]->(n3:adult) WHERE (n1.name=""Kim Angeli"" AND n1.birth=1968 AND n3.year=1990 AND n2.year=1993) RETURN count(n1)";"MATCH (n1:actress:birth_1968)-[:ACTED_IN]->(n2:adult:year_1993), (n1:actress:birth_1968)-[:ACTED_IN]->(n3:adult:year_1990) WHERE (n1.name=""Kim Angeli"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"22";"5290";"14.6"
"MATCH (n3:writer)-[:WROTE]->(n2:animation), (n3:writer)-[:WROTE]->(n4:drama), (n3:writer)-[:WROTE]->(n1:adventure) WHERE (n2.year=1978 AND n3.birth=0 AND n3.name=""Aleksandr Antokolsky"" AND n4.year=1960) RETURN count(n1)";"MATCH (n3:writer:birth_0)-[:WROTE]->(n2:animation:year_1978), (n3:writer:birth_0)-[:WROTE]->(n4:drama:year_1960), (n3:writer:birth_0)-[:WROTE]->(n1:adventure) WHERE (n3.name=""Aleksandr Antokolsky"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"1";"36";"17.1"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:ACTED_IN]->(n1:drama) WHERE (n2.year=1980 AND n3.birth=1937 AND n1.year=1992 AND n2.category=""movie"") RETURN count(n1)";"MATCH (n3:actor:birth_1937)-[:ACTED_IN]->(n2:drama:year_1980:movie), (n3:actor:birth_1937)-[:ACTED_IN]->(n1:drama:year_1992) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"46";"864862";"162.1"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:romance), (n1:actor)-[:ACTED_IN]->(n4:war), (n1:actor)-[:ACTED_IN]->(n3:comedy) WHERE (n3.category=""movie"" AND n1.birth=1895 AND n3.year=1927 AND n4.year=1929) RETURN count(n1)";"MATCH (n1:actor:birth_1895)-[:ACTED_IN]->(n2:romance), (n1:actor:birth_1895)-[:ACTED_IN]->(n4:war:year_1929), (n1:actor:birth_1895)-[:ACTED_IN]->(n3:comedy:movie:year_1927) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"14";"25238";"30.9"
"MATCH (n2:actor)-[:DIRECTED]->(n1:biography), (n2:actor)-[:DIRECTED]->(n3:romance) WHERE (n2.birth=1904 AND n2.name=""Goffredo Alessandrini"" AND n3.year=1936 AND n1.category=""movie"") RETURN count(n1)";"MATCH (n2:actor:birth_1904)-[:DIRECTED]->(n1:biography:movie), (n2:actor:birth_1904)-[:DIRECTED]->(n3:romance:year_1936) WHERE (n2.name=""Goffredo Alessandrini"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"1";"132";"12.2"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n1:drama), (n3:soundtrack)-[:ACTED_IN]->(n2:action) WHERE (n3.death=1954 AND n2.year=1948 AND n1.category=""movie"" AND n3.birth=1878) RETURN count(n1)";"MATCH (n3:soundtrack:death_1954:birth_1878)-[:ACTED_IN]->(n1:drama:movie), (n3:soundtrack:death_1954:birth_1878)-[:ACTED_IN]->(n2:action:year_1948) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"95";"2233";"10.7"
"MATCH (n2:writer)-[:ACTED_IN]->(n1:comedy), (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:ACTED_IN]->(n4:sci_fi) WHERE (n1.year=1975 AND n2.birth=1941 AND n4.category=""short"" AND n2.death=2015) RETURN count(n1)";"MATCH (n2:writer:birth_1941:death_2015)-[:ACTED_IN]->(n1:comedy:year_1975), (n2:director:birth_1941:death_2015)-[:ACTED_IN]->(n3:comedy), (n2:actor:birth_1941:death_2015)-[:ACTED_IN]->(n4:sci_fi:short) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"5";"6472";"29.5"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:actor)-[:ACTED_IN]->(n1:action) WHERE (n3.category=""video"" AND n1.category=""video"" AND n2.death=2009 AND n2.birth=1933) RETURN count(n1)";"MATCH (n2:soundtrack:death_2009:birth_1933)-[:ACTED_IN]->(n3:documentary:video), (n2:actor:death_2009:birth_1933)-[:ACTED_IN]->(n1:action:video) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"22";"19114";"18.0"
"MATCH (n2:director)-[:DIRECTED]->(n1:adult), (n2:editor)-[:DIRECTED]->(n3:adult) WHERE (n1.category=""video"" AND n2.birth=0 AND n1.year=1996 AND n3.category=""video"") RETURN count(n1)";"MATCH (n2:director:birth_0)-[:DIRECTED]->(n1:adult:video:year_1996), (n2:editor:birth_0)-[:DIRECTED]->(n3:adult:video) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"485";"61209";"44.0"
"MATCH (n3:director)-[:ACTED_IN]->(n2:crime), (n3:director)-[:ACTED_IN]->(n4:crime), (n3:director)-[:ACTED_IN]->(n1:documentary) WHERE (n2.category=""movie"" AND n3.birth=1962 AND n1.category=""tvShort"" AND n1.year=1985) RETURN count(n1)";"MATCH (n3:director:birth_1962)-[:ACTED_IN]->(n2:crime:movie), (n3:director:birth_1962)-[:ACTED_IN]->(n4:crime), (n3:director:birth_1962)-[:ACTED_IN]->(n1:documentary:tvShort:year_1985) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"218";"171422";"59.6"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:western), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.category=""short"" AND n3.name=""Gilbert M. 'Broncho Billy' Anderson"" AND n2.year=1910 AND n3.death=1971) RETURN count(n1)";"MATCH (n3:producer:death_1971)-[:ACTED_IN]->(n1:western), (n3:producer:death_1971)-[:ACTED_IN]->(n2:western:short:year_1910) WHERE (n3.name=""Gilbert M. 'Broncho Billy' Anderson"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"14357";"365034";"76.7"
"MATCH (n2:producer)-[:PRODUCED]->(n3:music), (n2:editorial_department)-[:DIRECTED]->(n1:documentary) WHERE (n2.name=""Bob Sarles"" AND n3.category=""tvSpecial"" AND n2.death=0 AND n3.year=2011) RETURN count(n1)";"MATCH (n2:producer:death_0)-[:PRODUCED]->(n3:music:tvSpecial:year_2011), (n2:editorial_department:death_0)-[:DIRECTED]->(n1:documentary) WHERE (n2.name=""Bob Sarles"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"10";"523";"12.0"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:comedy), (n3:soundtrack)-[:ACTED_IN]->(n4:comedy), (n3:producer)-[:ACTED_IN]->(n1:family) WHERE (n4.category=""short"" AND n3.death=0 AND n2.year=2010 AND n3.name=""Neil Patrick Harris"") RETURN count(n1)";"MATCH (n3:actor:death_0)-[:ACTED_IN]->(n2:comedy:year_2010), (n3:soundtrack:death_0)-[:ACTED_IN]->(n4:comedy:short), (n3:producer:death_0)-[:ACTED_IN]->(n1:family) WHERE (n3.name=""Neil Patrick Harris"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"11033";"271350";"64.6"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:action), (n2:soundtrack)-[:ACTED_IN]->(n3:action) WHERE (n3.category=""tvMovie"" AND n1.category=""movie"" AND n1.year=1937 AND n3.year=1961) RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:action:movie:year_1937), (n2:soundtrack)-[:ACTED_IN]->(n3:action:tvMovie:year_1961) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"3";"92285";"42.0"
"MATCH (n4:director)-[:DIRECTED]->(n1:comedy), (n4:writer)-[:DIRECTED]->(n2:drama), (n4:writer)-[:DIRECTED]->(n3:drama) WHERE (n1.year=1972 AND n4.name=""Silvio Amadio"" AND n4.death=1995 AND n4.birth=1926) RETURN count(n1)";"MATCH (n4:director:death_1995:birth_1926)-[:DIRECTED]->(n1:comedy:year_1972), (n4:writer:death_1995:birth_1926)-[:DIRECTED]->(n2:drama), (n4:writer:death_1995:birth_1926)-[:DIRECTED]->(n3:drama) WHERE (n4.name=""Silvio Amadio"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"144";"1389";"14.7"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:music), (n3:composer)-[:ACTED_IN]->(n1:documentary), (n3:soundtrack)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:music) WHERE (n4.year=2008 AND n2.year=2018 AND n3.death=0 AND n1.year=2006) RETURN count(n1)";"MATCH (n3:actor:death_0)-[:ACTED_IN]->(n2:music:year_2018), (n3:composer:death_0)-[:ACTED_IN]->(n1:documentary:year_2006), (n3:soundtrack:death_0)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:music:year_2008) RETURN count(n1)";"A AND B AND C AND D";"-";"100%";"35";"439612";"112.2"
"MATCH (n2:director)-[:ACTED_IN]->(n3:documentary), (n2:actor)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:adventure), (n2:director)-[:ACTED_IN]->(n1:talk_show) WHERE (n2.name=""Robert Vaughn"" AND n3.category=""tvSeries"" AND n4.category=""movie"" AND n2.death=2016) RETURN count(n1)";"MATCH (n2:director:death_2016)-[:ACTED_IN]->(n3:documentary:tvSeries), (n2:actor:death_2016)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n4:adventure:movie), (n2:director:death_2016)-[:ACTED_IN]->(n1:talk_show) WHERE (n2.name=""Robert Vaughn"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"224";"18570";"18.5"
"MATCH (n3:writer)-[:PRODUCED]->(n1:thriller), (n3:production_manager)-[:PRODUCED]->(n4:drama), (n3:writer)-[:PRODUCED]->(n2:comedy) WHERE (n1.category=""tvMovie"" AND n2.year=1999 AND n4.category=""movie"" AND n3.name=""Dieter Ulrich Aselmann"") RETURN count(n1)";"MATCH (n3:writer)-[:PRODUCED]->(n1:thriller:tvMovie), (n3:production_manager)-[:PRODUCED]->(n4:drama:movie), (n3:writer)-[:PRODUCED]->(n2:comedy:year_1999) WHERE (n3.name=""Dieter Ulrich Aselmann"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"40";"2851";"17.5"
"MATCH (n3:writer)-[:ACTED_IN]->(n4:documentary), (n3:actor)-[:PRODUCED]->(n1:thriller), (n3:writer)-[:ACTED_IN]->(n2:documentary) WHERE (n4.category=""tvMovie"" AND n3.name=""Ilya Salkind"" AND n1.category=""movie"" AND n2.category=""video"") RETURN count(n1)";"MATCH (n3:writer)-[:ACTED_IN]->(n4:documentary:tvMovie), (n3:actor)-[:PRODUCED]->(n1:thriller:movie), (n3:writer)-[:ACTED_IN]->(n2:documentary:video) WHERE (n3.name=""Ilya Salkind"") RETURN count(n1)";"A AND B AND C AND D";"A";"75%";"4";"380";"12.3"
